"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEPREFIX";
"8";"";"OPEN";"CP_OP";"JP4, JP5, JP8, JP9, JP10, JP11, JP12, JP14";"open Cutpad";"";
"1";"100n";"CAP01";"C-2,5";"C1";"";"";
"4";"10k";"RES04";"R-10";"R1, R2, R3, R4";"";"";
"2";"1N4148";"1N4148";"DO-35";"D1, D2";"";"";
"1";"27C512-DIP28";"M27C512-DIP28";"DIL28-6";"IC1";"";"";
"1";"C64-EXPANSION-PORT";"C64-EXPANSIONP";"EXPPORT";"J1";"";"";
"1";"COMBI-3P";"COMBI-3P";"COMBI-3P";"J5";"";"";
"1";"COMBI-3X2P";"COMBI-3X2P";"COMBI-3X2";"J6";"";"X";
"1";"DIPSW-05V";"DIPSW-05V";"DIPSW-05V";"SW1";"";"";
"1";"JTP-1130";"JTP-1130";"JTP-1130";"SW2";"";"";
